#{"t_start": 1637959101.1178849, "env_id": "NewHriEnv-v1"}
r,l,t
-57455.581746,200,7593.57888
-57425.735266,200,7604.645649
-37445.08967,200,7615.746403
-67634.242481,200,7626.770327
-33380.273941,200,7637.856336
-37788.738734,200,7648.883564
-31537.266877,200,7659.951791
-58097.672672,200,7670.971161
-28850.967043,200,7681.989686
-40966.011012,200,7693.066745
-63153.538247,200,7704.155506
-25550.336431,200,7715.191082
-25431.226157,200,7726.242732
-26153.274481,200,7737.276513
-25941.520211,200,7748.317884
-24380.079098,200,7759.328729
-30768.94749,200,7770.365819
-26078.658054,200,7781.38642
-25069.345453,200,7792.418566
-26207.7035,200,7803.461115
-23155.261397,200,7814.523582
-27806.099496,200,7825.554541
-27085.365167,200,7836.567138
-27067.587621,200,7847.646527
-27048.962466,200,7858.721642
-26969.366712,200,7869.847392
-26964.658418,200,7880.940444
-24296.12773,200,7892.081892
-26549.897703,200,7903.139781
-22483.483804,200,7914.263157
-19555.146553,200,7925.300577
-23059.212349,200,7936.319738
-21983.862187,200,7947.361142
-23103.846204,200,7958.39331
-19920.340596,200,7969.483815
-21640.289487,200,7980.525818
-24405.543211,200,7991.548372
-25842.612202,200,8002.555582
-24526.767112,200,8013.569641
-23528.049319,200,8024.632921
-21915.508396,200,8035.674503
-24725.986468,200,8046.692488
-22352.031873,200,8057.86517
-25564.396542,200,8068.945347
-24195.706675,200,8080.016517
-22640.307243,200,8091.034242
-20585.771257,200,8102.164814
-22795.377024,200,8113.274371
-21831.091354,200,8124.383624
-24784.804941,200,8135.407238
-21438.146426,200,8146.490117
-19872.030584,200,8157.506504
-19863.461004,200,8168.582079
-18635.58826,200,8179.699407
-16845.205477,200,8190.774984
-10292.225949,200,8201.801977
-9445.236039,200,8212.825689
-9069.613912,200,8223.854059
-8162.95589,200,8234.879785
-8119.148225,200,8245.988382
-6520.487473,200,8257.081344
-6899.722847,200,8268.179621
-7375.279739,200,8279.314974
-7426.982689,200,8290.346541
-7037.602944,200,8301.388025
-6112.964022,200,8312.429295
-6120.899967,200,8323.459926
-7026.586092,200,8334.487154
-8050.117205,200,8345.582886
-9021.974084,200,8356.70412
-10065.968151,200,8367.822994
-10496.138601,200,8378.930859
-9816.903832,200,8390.069127
-9803.849255,200,8401.151887
-6907.635091,200,8412.337057
-4975.131447,200,8423.415059
-2726.87605,200,8434.498377
-2519.167392,200,8445.616226
-2222.189763,200,8456.687298
-1832.438073,200,8467.763352
-1780.431606,200,8478.830069
-1791.628652,200,8489.967577
-1667.20038,200,8501.110067
-1872.249329,200,8512.192027
-1702.322458,200,8523.317267
-1757.53114,200,8534.456078
-1761.047451,200,8545.530489
-1789.45358,200,8556.618102
-2274.836326,200,8567.748037
-3021.107204,200,8578.828345
-3653.739133,200,8589.978778
-3780.744799,200,8601.146906
-3922.445869,200,8612.380163
-4376.50226,200,8623.565268
-3916.884114,200,8634.669981
-3941.71751,200,8645.760006
-4186.678722,200,8656.852986
-4427.263413,200,8668.005421
-3431.33048,200,8679.165322
-2570.082905,200,8690.272924
-2313.053099,200,8701.378564
-2160.571041,200,8712.529172
-2388.853919,200,8723.664436
-2213.770587,200,8734.899664
-2726.172043,200,8746.07285
-3540.010558,200,8757.197315
-3870.00872,200,8768.326796
-4730.890477,200,8779.444666
-5726.854183,200,8790.60114
-8251.137859,200,8801.770924
-9507.615124,200,8812.890156
-9744.717608,200,8824.018096
-10162.63941,200,8835.157318
-12910.21174,200,8846.357517
-12711.242952,200,8857.509132
-11117.382705,200,8868.688637
-10656.667163,200,8879.883585
-10278.978262,200,8891.018844
-8620.289046,200,8902.166624
-7543.592361,200,8913.420735
-7265.666918,200,8924.612836
-5862.197179,200,8935.733914
-5874.561162,200,8946.871825
-6059.022172,200,8957.998589
-6744.740293,200,8969.120591
-5913.90731,200,8980.275196
-4747.073791,200,8991.400934
-3865.647562,200,9002.540675
-3666.763336,200,9013.684369
-3490.787919,200,9024.833402
-4686.628425,200,9036.02948
-6226.824716,200,9047.234924
-7087.757567,200,9058.42922
-7458.827241,200,9069.587909
-7685.219761,200,9080.77875
-7876.093503,200,9091.945267
-7926.067475,200,9103.111583
-9232.65895,200,9114.264829
-9653.438474,200,9125.454273
-8252.679423,200,9136.608662
